contributor,r2,explained_variance
787644,-211.43605763418705,-37.7168997404224
787773,-5.16546454246917,-0.7712994605192902
788349,-0.905013700710408,-0.5171779040202902
788445,-0.23171005315002113,-0.07578560201682816
789345,-0.09090909090909105,0.0
789883,-0.11295288663455416,-0.008261117713663335
794668,-0.07207734762588203,-0.06944310021341615
795469,-0.7198726691080082,-0.6521077518308123
795565,-0.5886969705132492,-0.2142827170694246
795985,-0.349627993513141,-0.3484735283583127
796485,-0.773686251680181,-0.6067235737217673
797479,-1.4402107471709389,-0.6543711345133585
797535,-4.143010197335885,-4.090790616066124
797989,0.308828022742892,0.30932275497060113
798388,-0.14969900999327046,-0.10932788312281394
799565,-0.33495529200892626,-0.32615754630769067
833435,-2.799881980201721,-1.7611442941902626
836953,-0.7966192985779683,-0.1120055635391759
837847,-0.10401518683394206,-0.0932063310327571
839443,-1.3969477609343879,-0.23888289446610744
839556,-0.057847761437149536,-0.028213990981344805
839884,-0.16393922858283005,-0.038030422757924454
843533,-0.06304150715663881,-0.06082509947077375
843667,-0.21081670007894449,-0.06003823512914952
843668,-2.82133881686662,-2.3588090121829257
844974,-142.32743284399697,-41.362765753621844
845398,-3.426150405243919,-0.9206523220948564
845538,-5.922714876880692,-1.5298331534033784
846638,-0.3080486670241538,-0.1347359952179381
847775,-0.19958709083133241,0.11049908282171572
848963,-0.15622527917979356,-0.008651740773245153
849548,-0.5692275015677366,-0.4730345945458847
849576,-0.11374597457090263,-0.06314329179376799
849893,-0.277523084994997,-0.12224333962761214
854536,-0.08268808234836356,0.002425083855471244
855857,-0.3808997437593651,-0.37342264200372255
858444,-0.1555021587822243,-0.04453718899330594
858548,-0.08604221871061135,0.16152624641502045
859454,-0.49709401580737556,-0.014881172018752942
859754,-1.0833934247081491,-0.149209536506834
863393,0.0066715413462389295,0.008849119384247595
864856,-0.3075603351294507,-0.2238480446711324
864943,-0.10761311571231102,0.009801671453084193
865858,-0.015728588945043143,-0.009494478625511116
867437,-158.51353124504752,-25.817612513700972
868345,-28.04814568298959,-17.676227558428735
868574,-0.20775297671993243,0.01882571836684277
868944,-0.06815254618363809,-0.0014477441560938331
869378,-0.2479469628307538,-0.23771339631160138
869399,-1.1170044220677289,-0.42736634906989357
869469,-1.4675595806695871,-0.9313617773964931
869865,-2312.4781268657057,-794.0424387287096
873354,-0.589762426534356,-0.5060946644887383
873366,-3.110485902884153,-2.0223744577988945
873566,-0.06657804453048821,0.01966490223128592
873787,-1.5073937317382637,-0.3057400912572361
873968,-0.24171640499157787,-0.043500725759962
874434,0.09196891942610674,0.16847863051065737
874774,-0.10000000000000009,0.0
875339,-0.9727758577788448,-0.3928894265189862
876747,-0.5000064190106721,-2.8530080427024984e-06
876838,-1.9558612849595942,-0.47937495035868816
877336,-0.29578847890522697,-0.15424687824790784
878448,-1.9755157061966808,-0.439110060460274
878848,-0.23456187454225352,-2.544631172440859e-13
878957,-0.22907228174182026,0.1753877279473064
879498,-0.06857956806740084,0.0016169364577198753
879668,-0.5964903011393754,-0.09127197075069549
879997,-1.000064397889417,-2.0834000930891605e-05
883466,-0.17576771036767203,-0.16544839447978732
883584,-0.6089692256068742,-0.544970818132626
883683,-0.16666666641968653,1.198591226270196e-10
883868,-0.10921501706484626,0.0
884867,-0.27079844991479396,-0.0020491607144312862
885378,-0.9322672535356462,-0.8542543448308768
885533,-2.666986760514781,-1.6614279458628065
885675,-0.16842101325923675,0.008689087067646262
885764,-1.970086344953422,-1.6272345864666655
885899,-1.3080845127140757,-0.8700458723388436
886785,-0.07733701781253544,-0.0012649966580242644
886868,-0.06289772376386371,0.01129942118909022
886898,-1.2679539278045469,-0.44692073305557
887946,-1.406833005727754,-0.16552699049825526
887955,-0.8951391313738137,-0.06329850633768497
888677,-0.10797071435320738,-0.007265320916913343
889346,-0.05878676215211631,0.007229794431754977
893864,-0.2457345976596299,-0.24483760353886397
893974,-0.6491558847122634,-0.10404192663703471
894634,-2.5133713883394937,-0.6221838998176503
895678,-10.094354937513799,-3.6147638999710425
896363,-2.2679268086467617,-1.4959741573623373
896495,-0.5236859729967156,-0.07189764286062528
896596,-13.715391341130436,-8.793924254975703
896693,-0.2404691050510137,-0.2015441109727969
897436,0.24231617882717704,0.25542043718428675
897593,-0.2133604275008889,0.006665681692764269
897688,-8.766237501839738,-0.9984918866462642
897878,-0.21111239976957608,-0.17606827758881094
899896,-0.4863954207703165,-0.15202788020235602
933344,-0.6950451890263347,-0.48303302065195863
933648,-7.8495360868437025,-3.8808466348285826
933837,-0.17319776546042953,-0.11067140690443633
934649,0.08919139097872375,0.14252406038599796
934969,-18.36009433411091,-17.481970636465473
935858,-0.3333333332544193,5.3304027858303016e-11
935987,-0.18172555239706134,-0.15162776306169046
936398,-3.050327901143201,-0.21993459198640686
936438,-2.8179652599579423,-2.615102915432735
936964,-0.09477251042113366,0.06275007422583734
938583,-0.9959979294737604,-0.010514751944826317
939955,-0.1385004603478588,-0.012272698804311588
945855,-0.10793154314658016,0.08426781083071078
