contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
octokitbot,bot,-7.600613094198074,6.394667641382697,0.0021910604732690623,-2282,-2040,-174,-1,237,H,24.0,625
oll-bot,bot,-0.22238702053936144,0.9231098500122022,0.8494983277591973,98,186,408,1,300,H,24.0,523
openhab-bot,bot,0.156677643042617,0.6483826439458753,0.37557603686635943,2,2,32,1,300,20T,72.0,382
openshift-cherrypick-robot,bot,-24.68331722283679,6.548360998467341,0.6065891472868217,250,233,302,1,296,4T,,447
openssl-machine,bot,-0.4132498374435809,1.0409118630745746,0.86002886002886,47,147,350,1,300,H,24.0,548
pantheon-ci-bot,bot,-0.027633331719820076,0.6503904316976205,0.9844836811128946,-287,-535,1086,1,299,H,24.0,844
pdfjsbot,bot,0.054509007722807756,0.763575546373546,0.8320610687022901,-119,-55,100,1,300,H,24.0,719
pirate-bot,bot,-0.8301145804431893,4.420858828839533,0.943217665615142,6,74,169,1,268,H,24.0,490
pivotal-cla,bot,0.030408501416262057,1.0393459065215882,0.6063492063492063,-15,-6,-1,-1,300,4H,6.0,389
pytorchbot,bot,0.7209367315306165,0.37954584255342866,0.1622222222222222,-42,-133,-1,-1,300,H,24.0,440
qmk-bot,bot,0.003635586733646501,0.6241949435539907,0.8122392211404729,-1,-101,-1,-1,300,H,24.0,879
r-ryantm,bot,-28492667.762360264,1585.0460342424196,0.5105953582240161,102,89,1298,1,298,4T,,419
release-drafter[bot],bot,-0.053559996120059905,0.8053677062104329,0.7395833333333334,14,70,127,1,300,3H,8.0,480
renovate-approve-2[bot],bot,-113.44871081805857,5.649126354005933,0.550185873605948,85,320,460,1,300,3T,,428
repo-ranger[bot],bot,-0.46127021355314257,0.9007231412506808,0.7791519434628975,91,152,132,1,300,30T,48.0,556
restyled-io[bot],bot,-4.939922863284367e+23,45195827895.955,0.5062732662346615,1918,3718,6384,1,299,T,,762
