contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
864856,human,-0.822454639914246,0.7893302351693346,0.4205607476635514,49,-11,-6,-1,293,H,24.0,860
864943,human,-3.423613379138919,3.555037144849623,0.4752475247524752,-39,-59,-12,-1,293,H,24.0,329
865858,human,-2.683280391110136,2.845438675678854,0.5459770114942529,-101,-128,-21,-1,294,2H,12.0,547
873354,human,-2.340775065918869,0.4777531712515012,0.5813382443216697,146,525,849,1,299,H,24.0,785
885533,human,-0.3682553264040962,0.9012808255534712,0.6620305980528511,-53,-34,232,1,300,H,24.0,500
885899,human,-39.15773739541701,3.9729554309762114,0.5886214442013129,-111,-306,-102,-1,298,H,24.0,855
893864,human,-0.3566400727141208,1.5061604906383779,0.1865671641791045,-61,-122,-1,-1,300,3H,8.0,454
896363,human,-7.095582616006702,4.353209440989398,0.8766859344894027,-119,-92,-1,-1,299,2H,12.0,502
897436,human,-0.5334018756153225,1.2417690932020717,0.5766423357664233,93,119,53,1,298,H,24.0,339
897688,human,-5.305019513394036,0.9042983973596511,0.5377875136911281,-16,507,432,1,300,30T,48.0,483
933837,human,-6.255691864707624,0.5698749238604375,0.48210526315789476,502,1081,1225,1,299,H,24.0,684
946773,human,-0.7499100309044111,0.7285603975372316,0.5298196948682385,237,153,24,1,300,H,24.0,684
947579,human,-3.817557199358527,1.4009912022016957,0.5058275058275058,139,119,92,1,299,30T,48.0,389
949698,human,-0.8294135432522158,2.3181229887875276,0.44370860927152317,-133,-164,-37,-1,288,2H,12.0,476
954443,human,-1.1918245883476297,1.1419357179732812,0.41586538461538464,-60,-115,-2,-1,299,30T,48.0,577
955787,human,-167.84310594057172,0.908130096708379,0.5431593312862504,3788,9882,11387,1,300,8T,168.0,360
957953,human,-2.128001368472822,0.6509435700278935,0.44111192392099485,143,400,499,1,298,H,24.0,866
966834,human,-0.18871604358108485,1.3853026161393471,0.5536912751677853,-23,-88,-1,-1,296,3H,8.0,424
976375,human,-0.8935906187225291,1.510120003133729,0.517814726840855,-21,-21,-1,-1,299,H,24.0,449
977484,human,-0.44645130285486934,0.5972288107502312,0.6171328671328671,214,349,423,1,300,H,24.0,728
978678,human,-0.5616588962652649,1.0048633169523442,0.48987108655616945,-7,86,61,1,294,30T,48.0,459
979384,human,-4.526990697391987,4.367432446884367,0.44150943396226416,-111,-120,-1,-1,298,2H,12.0,498
983548,human,-0.022234825877167408,0.7683175261341665,0.5321888412017167,-168,-203,-8,-1,296,H,24.0,718
983874,human,-6.881346127012295,2.5123372344430677,0.4950980392156863,6,-69,-2,-1,297,H,24.0,559
985588,human,-7.447031383439818,1.2780599002862543,0.5226628895184136,96,233,417,1,300,H,24.0,313
987894,human,-0.47145900659964934,1.080402274238922,0.5471264367816092,3,-72,-2,-1,296,H,24.0,543
988439,human,-34.83720394097741,3.6253560229927446,0.6509971509971509,-74,-2,152,1,288,H,24.0,411
