contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
pirate-bot,bot,-0.12044755183629019,2.6232021289134013,0.9053627760252366,-13,40,119,1,268,H,24.0,490
pivotal-cla,bot,0.02608493077972418,1.0247409461155887,0.6063492063492063,-22,-24,-1,-1,300,4H,6.0,389
pytorchbot,bot,0.6610764180386526,0.5073145361421001,0.1,-83,-147,-1,-1,300,H,24.0,440
qmk-bot,bot,0.001812617487716106,0.6182197859278444,0.8122392211404729,-21,-125,-1,-1,300,H,24.0,879
r-ryantm,bot,-44.63059451796302,4.3848226542147355,0.039354187689202826,-1696,-1518,-121,-1,298,4T,,419
release-drafter[bot],bot,-0.06063085569111237,0.8116732960518225,0.7416666666666667,16,72,132,1,300,3H,8.0,480
renovate-approve-2[bot],bot,-0.4380190170888012,0.8859557962349427,0.7757125154894672,90,331,479,1,300,3T,,428
repo-ranger[bot],bot,0.008156927146980242,0.7372929583014928,0.7031802120141343,82,95,-1,-1,300,30T,48.0,556
restyled-io[bot],bot,-1686.8515312337458,10.214269196348285,0.03543361367709913,-5038,-2947,-1,-1,299,T,,762
review-notebook-app[bot],bot,-1.871358230446543,3.8481718827307363,0.9509433962264151,23,106,163,1,300,20T,72.0,433
robot-clickhouse,bot,-0.051135685102454476,1.0497165616474584,0.5299625468164794,-6,-7,-48,1,294,H,24.0,475
rultor,bot,-2.578577380467645,2.6553861529169382,0.09501187648456057,-275,-154,-2,-1,298,20T,72.0,341
rust-timer,bot,-0.1376131920927326,1.5159338252395942,0.4838709677419355,-149,-87,-1,-1,300,20T,72.0,442
rustbot,bot,-0.07480620689136153,0.8787469858738145,0.6231527093596059,14,-9,-1,-1,300,30T,48.0,441
sagemaker-bot,bot,-0.035174710245575946,1.3971195506713865,0.6363636363636364,-56,-97,-2,-1,299,20T,72.0,386
salesforce-cla[bot],bot,-0.015005910820507173,1.2290890016160867,0.6642335766423357,-62,-108,-1,-1,300,4H,6.0,510
scrutinizer-notifier,bot,-0.13461704813644704,1.1552962096415418,0.8833333333333333,56,185,385,1,300,H,24.0,657
sentry-io[bot],bot,-0.6845954848565434,0.748409531711996,0.08924205378973105,-572,-296,-18,-1,299,H,24.0,760
similar-code-searcher[bot],bot,-0.03976727380619027,0.6472394576973445,0.5257936507936508,-205,-260,-1,-1,298,2H,12.0,539
skia-flutter-autoroll,bot,-0.1532093157279757,1.5393821500178997,0.6704545454545454,-7,12,52,1,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-0.3662636564025079,1.0611648201451263,0.3054298642533937,-209,-111,-1,-1,300,30T,48.0,335
soloio-bot,bot,-0.1041650025021379,1.42186646628855,0.19744318181818182,-510,-48,-31,-1,275,H,24.0,574
sourcegraph-bot,bot,-0.41389732076743413,0.6620584775908005,0.7085781433607521,158,176,432,1,299,3T,,500
spinnakerbot,bot,0.00579779888392129,1.4735156112187104,0.604,-170,-134,-9,-1,292,2H,12.0,524
spring-builds,bot,-0.19223426101786867,1.2251722727032865,0.19008264462809918,-299,-138,-1,-1,300,4H,6.0,441
sprucelabs-ci,bot,-2.1215256356963024,4.351553813421911,0.8708333333333333,6,6,176,1,300,8T,168.0,400
sre-bot,bot,-22.07425253536146,2.656020964078159,0.06053550640279395,-1556,-630,-77,-1,294,H,24.0,661
stakater-user,bot,-3.3526678405136536,0.8732587771186557,0.9109739973556633,664,1224,1871,1,298,30T,48.0,385
status-im-auto,bot,-0.3350708273175884,0.7063079110437649,0.22695035460992907,-445,-167,-1,-1,299,30T,48.0,565
submariner-bot,bot,-1.5713531041169109,2.320742423454203,0.9229583975346687,87,341,508,1,298,20T,72.0,393
swift-ci,bot,-0.004766481424491431,0.6354429036490487,0.5486542443064182,-109,-229,-1,-1,300,7T,,355
taichi-gardener,bot,0.022577700278461066,1.005704865264472,0.906896551724138,-118,-37,3,1,271,H,24.0,799
thundernest-bot,bot,0.020191729053086416,0.9066716642387306,0.5112994350282486,-84,-198,-6,-1,299,4H,6.0,416
translatewiki,bot,-0.2315782988772328,1.804897481254236,0.03968253968253968,-337,-169,-1,-1,264,H,24.0,408
tykbot[bot],bot,0.0649989594152196,1.2751401877041773,0.531986531986532,-66,-121,-1,-1,300,3H,8.0,434
usercont-release-bot,bot,0.7349037151524206,0.5061272571074441,0.9264367816091954,7,45,49,1,299,30T,48.0,526
va-bot,bot,0.4746922043003635,0.5533103292489733,0.4263959390862944,14,-9,-1,-1,300,3H,8.0,416
vc-ci,bot,-35.357730737341726,8.475836402451431,0.0405727923627685,-613,-176,-13,-1,299,20T,72.0,427
violinist-bot,bot,0.09004777007210463,1.3199303450105206,0.7321867321867321,50,145,169,1,295,30T,48.0,344
vmwclabot,bot,-0.5054692428404712,1.1519905851666676,0.8690140845070422,216,306,431,1,297,H,24.0,553
vscode-issue-tracker-bot,bot,1.0,2.1177118443193977e-13,0.9382303839732888,0,0,0,1,300,30T,48.0,600
