contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
847775,human,-7.002657436049233,23.893165969033962,0.024390243902439025,-79,-33,-1,298,D,32
849548,human,-0.21178487153481496,0.7302669529151101,0.3582295988934993,-382,-223,-2,297,H,555
859454,human,0.22410430708445217,4.0474421992951335,0.7384615384615385,-1,4,11,288,D,59
859754,human,-4.5934841361251655,14.92321452609707,0.8636363636363636,2,14,22,284,D,40
864856,human,-2.6275950240357653,13.87827664476309,0.8888888888888888,8,12,17,293,D,36
864943,human,-0.9011908782752662,4.129528827294557,0.8861386138613861,60,77,99,293,H,329
865858,human,0.11286708178274385,6.679298285317867,0.3333333333333333,-8,-10,-4,281,D,45
873354,human,-0.6271874308354186,5.532593212315626,0.34782608695652173,0,-26,-2,297,D,33
885533,human,-0.2878995259011039,1.1015303596460042,0.5910987482614742,2,82,398,300,H,500
885899,human,-8.126737278701144,26.11774154807876,0.8717948717948718,2,3,12,280,D,36
893864,human,-0.08684121352186702,6.601235587421456,0.6,-3,-11,-1,300,D,57
896363,human,-0.22018691503298227,8.130158609664173,0.7954545454545454,-10,0,10,289,D,42
897436,human,0.03614512874937015,1.1543729500536395,0.29927007299270075,71,23,-1,298,H,339
897688,human,-1.1493549210865184,2.238663658595641,0.12253829321663019,-393,-36,-1,300,H,242
933837,human,-150.82574008715682,65.18171212308152,1.0,28,58,71,299,D,28
946773,human,-1.0915154932267161,16.081016307483804,0.9354838709677419,14,16,16,299,D,28
947579,human,-11.301655115732698,10.196156027323354,0.06046511627906977,-97,-45,-1,299,H,194
949698,human,0.2637755114234811,9.743338059963186,0.6923076923076923,-7,-5,-5,276,D,39
954443,human,-0.08059312346791181,1.746928120719971,0.30288461538461536,-142,-74,-1,299,H,289
955787,human,-0.010697708899276348,0.17472245037646958,0.9776119402985075,646,2283,2081,300,T,144
957953,human,-0.3911393043274414,5.259311881354933,0.8448275862068966,6,15,23,296,D,36
966834,human,0.05178961443044183,8.275519149907613,0.7631578947368421,3,3,4,296,D,53
976375,human,-0.047717561485080884,1.3414998544293928,0.8598574821852731,17,74,85,299,H,449
977484,human,0.31996772574984533,5.942915242673432,0.4791666666666667,5,1,0,299,D,31
978678,human,0.06139795084498734,1.5659676097018809,0.8308823529411765,4,66,75,294,H,230
979384,human,-0.05952306507380323,13.696162514640895,0.6086956521739131,-6,-8,-1,298,D,42
983548,human,-0.46971358908179606,9.465826447943545,0.2,-9,-9,-1,292,D,30
983874,human,-0.33360650386221846,1.9349784964963437,0.8799019607843137,145,199,214,297,H,559
985588,human,-0.47053516598021905,1.1123464168622046,0.35694050991501414,-514,-281,-1,300,H,313
987894,human,-0.024366538557380135,0.950917339526802,0.4,-264,-147,-2,296,H,543
988439,human,-247.3461426548584,22.592382553288644,0.9957264957264957,77,304,612,288,H,411
