contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
knative-prow-robot,bot,-2.01583798085351,9.289232945161832,0.9,0,10,31,300,D,56
ks-ci-bot,bot,-0.014239668846270037,0.9737509638273569,0.24061810154525387,-263,-194,-21,297,H,594
kubevirt-commenter-bot,bot,-1.1393464773611615,0.5345583200187327,0.22703273495248152,-600,-404,-1,300,H,595
lgtm-com[bot],bot,-0.7734551133619185,25.233052436221794,0.8333333333333334,-4,-8,2,290,T,81
lingohub[bot],bot,-1.2114566695118856,3.676644880388038,0.04838709677419355,-46,-22,-3,293,D,42
linux-foundation-easycla[bot],bot,-0.27015750027120533,1.2165623080715027,0.6812227074235808,59,54,54,298,H,181
livingdocs-automation,bot,-0.03317424127344282,1.3085646682971293,0.5813333333333334,-9,11,-1,297,H,305
mender-test-bot,bot,-1.212030955468868,2.10247778703457,0.8888888888888888,82,236,274,296,H,499
metal3-io-bot,bot,-1.1016029696642122,3.4700173260440863,0.9361702127659575,17,152,178,298,H,265
metamaskbot,bot,-0.029388087789291584,2.039549636934799,0.4146341463414634,-36,-45,-2,297,H,227
minikube-bot,bot,0.10319320257715814,5.810826590357272,0.3,-4,-11,-2,288,D,38
minikube-pr-bot,bot,-0.142348006784913,3.7804256762949593,0.7708333333333334,4,5,11,300,D,60
minio-trusted,bot,-0.7614235261792255,0.703788534510291,0.21043324491600354,-902,-624,-1,300,H,499
miss-islington,bot,-0.3984164095786835,1.3508346322837277,0.3463414634146341,-228,-136,-3,296,H,313
mister-roboto,bot,-0.032314853149562284,0.8843016878357127,0.5360576923076923,-159,-134,-1,300,H,549
mm-cloud-bot,bot,-2.0809417682115985,3.555709349211577,0.9217391304347826,109,121,155,300,H,164
moz-wptsync-bot,bot,-0.38483592824642465,0.8636659499189997,0.21972318339100347,-394,-96,-4,299,H,531
mumukibot,bot,-1.1570635415458401,5.098281509942097,0.3197278911564626,2,72,48,298,H,71
nacho-bot,bot,-0.19784619448952534,1.1406712793213736,0.819614711033275,107,162,283,298,H,441
neos-bot,bot,-0.0768910020263005,8.162972741391043,0.5576923076923077,-25,-35,-24,184,D,53
netkan-bot,bot,-10209.025780561085,235.1817130161689,0.9981916817359855,107,374,469,271,H,504
nextcloud-bot,bot,0.3566908389804062,7.765834704838958,0.82,-6,1,12,257,H,119
ninjadotorg-bot,bot,-0.27009325279246377,0.030156631386503235,0.36212624584717606,-2,-5,-1,300,H,555
niveristand-diff-bot,bot,-19.004630331051825,13.192199838164244,0.976890756302521,89,275,307,277,H,219
