contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
nacho-bot,bot,-9.061959987880313,2.045911071782512,0.6427320490367776,39,31,94,298,H,441
neos-bot,bot,-0.1960930586530003,9.120689582139303,0.5192307692307693,-34,-39,-24,184,D,53
netkan-bot,bot,-60.014594992227224,7.739666077035928,0.3291139240506329,-148,-165,-65,271,H,504
nextcloud-bot,bot,0.13062006510598523,4.655003924203562,0.5,-42,-25,-2,257,H,119
ninjadotorg-bot,bot,-1726.1113196343188,0.5001622453873236,0.5548172757475083,-103,-101,-1,300,H,555
niveristand-diff-bot,bot,-14.081655712057891,4.576357181880843,0.4495798319327731,7,119,72,277,H,219
nodebb-misty,bot,-0.3336493811619108,5.040089196048443,0.4153846153846154,1,-6,-2,293,D,77
nodejs-github-bot,bot,-1.4336343514789944,3.200817363881294,0.4230769230769231,-6,-34,-1,300,H,136
nur-bot,bot,-0.6244663937819277,1.351061536850625,0.541501976284585,23,9,10,298,H,249
octokit-fixture-user-a,bot,-2.0495472404678514,0.7352798884811863,0.35437589670014347,144,288,432,300,H,288
octokitbot,bot,-0.3892724882742302,0.5314084994989401,0.4815950920245399,-240,-262,1340,237,H,625
oll-bot,bot,-1.3299152577220181,0.8250031640901967,0.4738015607580825,121,194,392,300,H,523
openhab-bot,bot,0.09905401601950159,1.478266646044711,0.5205479452054794,-1,-1,7,294,H,127
openshift-cherrypick-robot,bot,-0.004146854348691109,3.8399952324999926,0.7692307692307693,25,11,5,293,T,89
openssl-machine,bot,-0.5459962858816505,0.6938281440867782,0.5093795093795094,-4,28,148,300,H,548
pantheon-ci-bot,bot,-0.43214722633771174,11.0106674565342,0.8607594936708861,-10,-20,38,287,D,35
pdfjsbot,bot,-1.3282833285219962,8.005430364176235,0.4642857142857143,-3,-4,0,300,D,30
pirate-bot,bot,-11.65215690680825,6.076615154241173,0.5520504731861199,-152,-175,-50,268,H,490
pivotal-cla,bot,-0.8414115716809059,3.482891382255586,0.37735849056603776,-6,-9,-1,300,D,65
pytorchbot,bot,0.6495426397464321,0.37080736733381503,0.5977777777777777,0,4,2,300,H,440
qmk-bot,bot,-2.8161938687919763,13.741917813567806,0.5161290322580645,-3,-7,-3,295,D,36
r-ryantm,bot,-2.7023659939895874,3.098867461099084,0.949748743718593,31,38,290,298,T,83
release-drafter[bot],bot,0.26301212031291843,2.1527017207361436,0.639344262295082,0,2,3,300,D,60
renovate-approve-2[bot],bot,-0.5761698990364212,3.204067941605002,0.7933884297520661,8,39,55,300,T,65
repo-ranger[bot],bot,-10.853837836311865,3.116774206475366,0.46996466431095407,19,24,-1,300,H,278
restyled-io[bot],bot,-16.507670327966743,6.723810043050957,0.9945054945054945,87,181,301,286,T,38
review-notebook-app[bot],bot,-10.202745820388838,6.103065417605852,0.5842696629213483,-49,-29,-1,300,H,144
robot-clickhouse,bot,-0.24495487881448086,1.1107064014656882,0.653558052434457,13,17,-2,294,H,475
rultor,bot,-1.805956839222807,3.4506064105507175,0.3900709219858156,12,6,9,298,H,113
rust-timer,bot,-0.7303113104514662,4.321551867206932,0.44680851063829785,-20,-30,-1,299,H,147
rustbot,bot,-1.4605593809333488,1.7876977312832933,0.5441176470588235,-9,-27,-1,300,H,220
sagemaker-bot,bot,-1.3247421632337226,4.350038788678712,0.36486486486486486,-39,-39,-2,297,H,129
salesforce-cla[bot],bot,-0.03740602746854549,6.217116468549875,0.5869565217391305,-1,-19,-1,300,D,85
scrutinizer-notifier,bot,-1.8715553882301164,1.3559148737468003,0.6111111111111112,-55,-31,52,300,H,657
sentry-io[bot],bot,-1.2142050905760073,5.736272261022377,0.6,0,2,2,299,D,32
similar-code-searcher[bot],bot,-0.14429928794786173,4.435896728549918,0.5476190476190477,-3,-10,-1,298,D,45
skia-flutter-autoroll,bot,-7.432843987347676,4.602273940479845,0.5340909090909091,-36,-36,-1,300,H,139
softwarefactory-project-zuul[bot],bot,-1.2725425713958227,1.9622755633235964,0.6351351351351351,66,67,72,300,H,167
soloio-bot,bot,-0.03656955319931132,0.794143889989114,0.4971590909090909,-46,176,-31,275,H,574
sourcegraph-bot,bot,-0.5470701217594731,2.4254165252466358,0.7265625,19,17,50,298,T,75
spinnakerbot,bot,-0.8431333857050207,14.061356726294413,0.4090909090909091,-8,-12,-2,291,D,43
spring-builds,bot,-0.09623329203396236,5.11208629285886,0.4918032786885246,-10,-7,-1,300,D,74
sprucelabs-ci,bot,-1.490752947773911,13.424402925090995,0.45454545454545453,-15,-28,-18,287,H,53
sre-bot,bot,-6.042857411327148,0.4969194939173241,0.5137757081878153,805,1491,1804,294,H,661
stakater-user,bot,-20.85655982729439,1.7634261984333102,0.5374449339207048,333,628,940,298,H,193
status-im-auto,bot,-9.874346194576322,1.924550375053304,0.3049645390070922,-32,15,10,299,H,283
submariner-bot,bot,-0.515461757031124,2.304971772729969,0.4976958525345622,-24,24,44,298,H,131
swift-ci,bot,-0.08810625757993784,1.46793160365625,0.7470588235294118,-10,6,44,299,T,124
taichi-gardener,bot,-0.17998704193978976,11.32741181035329,0.36,-12,-15,-7,240,D,33
thundernest-bot,bot,-15.753603709876142,17.280936063898967,0.7666666666666667,-17,-34,-2,299,D,69
translatewiki,bot,-0.15452867981059337,1.169966994663691,0.5853174603174603,-1,-1,-1,264,H,408
tykbot[bot],bot,-0.7360258229646517,7.496708844674458,0.47368421052631576,-6,-16,-1,294,D,54
usercont-release-bot,bot,0.6874735048932612,0.7564219373942663,0.45871559633027525,-24,-1,-1,297,H,263
va-bot,bot,0.6595644794354485,1.566956420356646,0.58,-1,-2,-1,299,D,52
vc-ci,bot,-2.8980433849508556,2.34933434764843,0.45357142857142857,27,103,107,299,H,143
violinist-bot,bot,-0.5914610903689281,2.339353302970834,0.5588235294117647,-14,1,0,295,H,172
vmwclabot,bot,-7.535936302551072,1.6430507440397972,0.7718309859154929,103,88,102,297,H,553
vscode-issue-tracker-bot,bot,0.0,2.0872192862952942e-16,0.96,-1,-1,0,300,H,300
vtex-io-ci-cd[bot],bot,-0.8324960239670773,1.241279930448541,0.6235565819861432,-143,-166,-2,297,H,527
vtex-io-docs-bot[bot],bot,-2.957253103359859,6.788338061737733,0.6056338028169014,17,18,33,293,D,42
